Producto;cantidad ;Costo;
Leche Klim 1+ x 360;6;13778;
Maggi x 8;36;2379;
Maggi x 12;27;3568;
Maggi x 60;6;16355;
Ricostilla x 8 ;24;2478;
Ricostilla x 12;12;3667;
Ricostilla x 48;6;12390;
Maggui Oferta desmenuzado x 126;6;3667;
Maggui Doble Gusto x 12 ;6;3767;
Doña Gallina x 12 ;12;3469;
Doña Gallina x 8;6;2280;
Gelatina Gelhadax 40;48;1090;
Gelatina Light;24;1635;
Triguizar x 20 ;12;496;
Triguizar x 70;24;1586;
Sazonatodo x 200;6;3866;
Ligth yá x 10;10;991;
Nestea x 14;12;793;
Suntea x 1.5;12;991;
Suntea x 4.5;6;6245;
Tang x 2;6;793;
Tang x 1;6;5154;
Frutiño x 18;48;694;
Frutiño x 66;22;1635;
Frutiño x 100;100;3172;
Frutiño cremoso x 30;12;991;
Pulpifruta x 160;12;1982;
Azúcar Morena Ligth x 500;3;3965;
Azúcar Morena Ligth x 1000;3;6740;
Azúcar Morena Manuelita x 2.5;10;6938;
Azúcar Riopaila x 500;24;1487;
Azúcar Riopaila x 1000;38;2775;
Azúcar Manuelita Blanca x 2.5 ;6;6443;
Azúcar Providencia x 500;25;1487;
Azúcar Providencia x 1000;6;2775;
Azúcar x 500;24;1189;
Azúcar x 100;48;2379;
Aromatica de Frutasx 156;12;5253;
Te Verde x 26;8;6938;
Te Sabores x 26;6;4956;
Aromatica de Panela x 48;48;4361;
Aromatica de Sabores x 25;18;3767;
Crema de Leche x 1 ;12;8921;
Crema de Leche Parmalat x 200 ;12;2280;
Crema de Leche Nestle x 90;12;1784;
Crema de Leche Nestle x 186;18;4460;
Crema de Leche Nestle x 295;12;5452;
Lechera Nestlé x 395;6;6740;
Lechera Nestlé x 100;10;1487;
Lechera Nestlé x 300;10;5551;
Leche Condensada Colombina  x 400;6;5749;
Avena Quaker Hojuelas x 350;6;4906;
Avena Quaker Hojuelas x 220;12;1635;
Avena Toning Molina x 200;12;1289;
Promasa x 500 ;48;1635;
Harina pan blanca x 1000;12;3073;
Harina de trigo la nieve x 500;25;991;
Pastas Doria ;168;1536;
Spaggetti Doria x 250;26;1536;
Fideos Doria ;84;1933;
Bocadillo x280;90;1289;
Bombombum x 24;15;4460;
Protectores Nosotras Multiestilo x 15;12;2478;
Toallas Dobles Invisible Rapigel ;24;3965;
Toallas Kotex;24;4361;
Toallas Kotex Normal;24;3469;
Pañitos Pequeñín Karité x 24;24;2478;
Pañitos Huggies ;6;15859;
Pañitos Winny ;6;2379;
Pañitos Winny x 100;6;9416;
Pañal pequeñin x 5 etapa 0;6;11994;
Pañal pequeñin x 5 etapa 1;6;9912;
Pañal pequeñin x 30 etapa 5;6;15661;
Pañal pequeñin x 10 etapa 4;6;9416;
Pañal pequeñin x 10 etapa 2;6;5848;
Pañal pequeñin x 10 etapa 1;6;4956;
Pañal pequeñin x 30 etapa 2;6;15364;
Pañal pequeñin x 30 etapa 3;6;18337;
Pañal Winny x 30 etapa 1;6;12886;
Pañal Winny x 50 etapa 3;6;31718;
Pañal Winny x 30 etapa 3;6;18833;
Pañal Winny x 30 etapa 4;6;22302;
Pañal Huggies etapa 1 ;6;17346;
Pañal Huggies etapa 4;6;20815;
Pañal Huggies etapa 3;6;17346;
Pañal Huggies x 38 etapa 2;6;17842;
Pañal Huggies x 30 etapa 2;6;14372;
Pañal Huggies x 36 etapa 5;6;13877;
Pañal Baby Sec Talla S;6;11399;
Pañal Baby Sec Talla M;6;13877;
Champú Nutrit x 750 ;6;18833;
Champú Pantene x 400;6;14868;
Champú H&S x 400;24;14868;
Champú H&S x 200;12;9416;
Champú Bioexpert ;6;12886;
Champú Tresemé x 400;6;13877;
Champú Clear x 400;6;14868;
Champú Clear x 200;6;10903;
Champú Syoss;6;19824;
Champú Sedal x 340;6;11696;
Champú Sedal x 650;4;14174;
Champú Dove x 400;13;15859;
Cremade peinar Sedal ;6;10408;
Champú Konzil x 375;6;10903;
Crema de peinar Konzil ;6;8128;
Champú Savital x 350;6;8921;
Champú Savital x 530;18;11399;
Crema de Peinar Nutribela x 300;6;12588;
Champú Savital x 100;12;2775;
Crema de Peinar Savital x 100;6;2775;
Acondicionador Savital x 100;6;2775;
Champú Savital x 25 ;6;9912;
Colgate x 60;24;1982;
Colgate x 22;12;991;
Fluo Cardent niños ;6;4956;
Fluo Cardent + cepillo ;6;1883;
Fluo Cardent  Blanqueadora ;6;6443;
Listerine x 360;4;16850;
Listerine x 180;6;8921;
Alcohol x 700;24;3172;
Alcohol x 350;24;1883;
Aceite J&J x 100;6;3172;
Aceite J&J x 50;6;7434;
Rexona Clinical x 48 ;12;17842;
Rexona Rollon x 48 ;6;10903;
Rexona x 30 ;24;2478;
Dove Rollon x 50 ;6;11894;
Dove Barra ;6;14868;
Dove Aerosol ;6;16355;
Rexona barra x 50 ;6;13877;
Axe barra x 50;6;13381;
Axe Aerosol ;6;12886;
Jabón Protex ;60;1883;
Jabón J&J Bebé;24;2577;
Jabón Dove ;9;2775;
Jabón Dorado;24;1834;
Jabón Lux ;21;1685;
Jabón Asepxia ;3;6938;
Jabón Rexona ;36;1784;
Jabón Palmolive ;18;1685;
Jabón Heno de Pravia ;12;1982;
Jabón Savital ;12;1784;
Jabón Lemon ;12;1388;
Jabón Deseo x3;6;3469;
Tampones OB;10;7930;
Tampones Kotex ;6;6443;
Tampones Nosotras ;6;7434;
Soflan x 5 L;2;21806;
Soflan x 3 L;2;11894;
Soflan x 1 L;12;4560;
Soflan x 210 ml;24;892;
Soflan x 40 ml;24;248;
Aromatel x 50 ml ;12;297;
Aromatel x 115 ml ;36;496;
Aromatel x 150 ml ;18;793;
Aromatel x 205 ml ;24;991;
Aromatel x 425 ml ;24;2280;
Aromatel x 900 ml ;18;4560;
Suavizante la Joya x 3000;6;15463;
Suavizante la Joya x 1000;6;4857;
Suavizante la Joya x 500;6;2577;
Sapolio x 360;6;8921;
Cresopinol x 860;3;5452;
Maxo x 1000;6;3965;
Maxo x 500;6;2577;
Fabuloso x 200 ml;48;1090;
Fabuloso x 500 ml;3;2874;
Fabuloso x 1L;15;5947;
Fabuloso x 2L;3;7930;
Blancox x 180ml;20;5947;
Vanisk x 30 ml;12;1090;
Vanisk x 3785 ml;6;23789;
Vanisk x 450 ml;12;3271;
Pinolina x 2L;6;7335;
Pinolina x 1L;6;4460;
Sampic x 2L;6;8524;
Sampic x 1L;12;4460;
Esponjilla Bombril x 6;24;1289;
Jabón Dersa x 500;200;2775;
Jabón Dersa x 1000;40;5650;
Jabón Dersa x 5000;4;26267;
Jabón puro x 850;3;4460;
Jabón Lavo Matic x 450;24;3965;
Jabón Lavo Matic x 2000;6;17842;
Jabón Fab x 2000;6;12886;
Jabón Fab x 850;24;6443;
Jabón Fab x 450;36;3469;
Jabón Fab x 225;36;1982;
Jabón Fab x 115;50;1090;
Jabón Ariel x 1.5;30;10903;
Jabón Ariel x 800;28;7335;
Jabón Ariel x 450;24;3767;
Jabón Ariel x 200;36;2280;
Cera escarlata x 530;6;11498;
Cera escarlata x 280;12;5848;
Jabón barrigón x 400;12;1982;
Jabón barrigón x 220;12;1289;
Jabón Top Terra x 220 ;12;1685;
Jabón supremo x 3;6;3965;
Jabón supremo x 300;48;1685;
Jabón Vel rosita ;12;2181;
Jabón coco;24;2676;
Jabón Fab x 300;36;1685;
Jabón Axión Disco ;36;892;
Jabón Axión Disco x 300;24;1685;
Jabón tras x 400;12;2379;
Jabón Lava x300;12;1982;
Jabón Dersa x 250;6;1586;
Jabón brilla ollas x400;4;4758;
Jabón brilla ollas x120;12;1784;
Lavaplatos Fassi x 2;6;5749;
Lavaplatos Maxo duo x 450;6;6938;
Lavaplatos Lava x 250 ;12;2280;
Lavaplatos Lava x 500;12;3965;
Lavaplatos liquido Loza Cream x 850;6;10507;
Lavaplatos liquido Loza Cream x 400;12;5452;
Lavaplatos liquido Loza Cream x 250;12;1883;
Frotex x 30;18;991;
Frotex x 280;6;1982;
Frotex oferta x 170 ;3;4659;
Mister musculo cocina x 250;2;5154;
Salvo Limon x 500;6;6145;
Jabón Axion x 180 ;12;1883;
Jabón Axion x 750;12;9912;
Jabón Ajax x 2000;2;11894;
Jabón liquido Woolite x 500;6;8128;
Jabón liquido Woolite ropa negra x 1000;6;14075;
Jabón liquido Woolite ropa color  x 1000;6;14571;
Jabón liquido Woolite todos los dias   x 1000;6;12886;
Jabón liquido Woolite todos los dias   x 2000;6;22302;
Jabón  liquido Lavomatic x 1900;3;19328;
Jabón  liquido Maxo x 1000;6;9416;
Jabón  liquido Ariel x 2000;3;17346;
