Producto;cantidad ;Precio de venta;Costo
Alcaparras x 125;6;3500;3469
Champiñones enteros x 200;7;5400;5352
Champiñones enteros x 225;5;8300;8227
Piña en trozos x 790;8;9500;9416
Piña en trozos x 250;6;3700;3667
Brevas x 560;6;7200;7137
Duraznos El Fortiín x 480;10;5200;5154
Chocolate Luker x 125;42;2900;2874
Chocolate Luker x 250;28;5700;5650
Chocolate Tesalia x 125;98;2900;2874
Chocolate Tesalia x 250;24;5700;5650
Chocolate Cruz x 250;4;6000;5947
Cholotate Corona x 500;7;5700;5650
Chocolate Corona x 25 ;5;2900;2874
Colotate Chocoline x 200;48;4850;4807
Colotate Chocoline x 120;24;3500;3469
Chocolate Clasico x 156;20;3700;3667
Chocolate Luker Light x 25 ;14;3600;3568
Choco Express x 200;36;5000;4956
Choco Express x 125;28;3400;3370
Chocolate Luker Fácil x 250;14;3700;3667
Chocolate Luker Light x 200;7;5000;4956
Chocolate Luker Premium x 100;20;2400;2379
Chocolate Luker Premium x 230;24;4550;4510
Chocolatada tradicional x 400;16;5950;5898
Chocolate Corona x 100;36;2500;2478
Chocolate Corona x 175;25;4000;3965
Chocolate Corona x 230;35;4700;4659
Chocolisto x 200;24;3550;3519
Chocolisto x 300;18;5700;5650
Chocolisto x 1000;12;15500;15364
Nucita x 1000;12;12700;12588
Nucita x 220;12;2800;2775
Nesquik x 400;3;4000;3965
Linaza Molida ;12;4000;3965
Linaza en grano ;12;4500;4460
Salvado de trigo Natural;8;2500;2478
Salvado de trigo melaza ;12;3700;3667
Salvado de trigo x 300;6;6200;6145
Colcafé Cream x 380 ;4;8800;8723
Colcafé Capuchino ;3;10400;10308
Insta cream x 450;10;12800;12687
Insta cream x 280;8;8300;8227
Insta cream x 175;5;5800;5749
Insta cream x 430;6;11900;11795
Nescafé x 170;6;12900;12786
Nescafé x 85;6;7700;7632
Nescafé x 50;10;4700;4659
Café Buen día x 50;30;6300;6245
Café Buen día x 85;6;7700;7632
Café Buen día x 170;8;14600;14472
Café Buen día x 340;5;27600;27357
Café Buen día Descafeinado x 170;7;17000;16850
Café Buen día Descafeinado x 85;10;12500;12390
Nescafé Dolca x 85;8;6700;6641
Nescafé Dolca x 170;4;11400;11300
Café Bastiyá x 170;5;12800;12687
Café Bastiyá x 85;1;6450;6393
Café Bastiyá x 50;7;4200;4163
Colcafé Granulado x 170;4;11900;11795
Colcafé Granulado x 85;13;6450;6393
Colcafé Granulado x 50;14;4200;4163
Colcafé Clásico x 170;7;15800;15661
Colcafé Clásico x 85;9;6450;6393
Colcafé Clásico x 50;6;4000;3965
Colcafé Sabores x 50 ;6;4300;4262
Café Sello Rojo x 250;2;3900;3866
Café Sello Rojo x 575;13;8650;8574
Café Sello Rojo x 287;16;4600;4560
Café Sello Rojo descafeinado ;2;5900;5848
Café Sello Rojo Sabores x 120;3;2700;2676
Café Sello Rojo Sabores x 147;18;2400;2379
Colcafé granulado x 36 ;13;2800;2775
Café Aguila Roja x 500;10;7750;7682
Café Aguila Roja x 250;21;4150;4113
Café Aguila Roja x 125;32;2150;2131
Café Bastiyá x 500;5;8000;7930
Café Bastiyá x 250;4;4300;4262
Café Bastiyá x 125;35;2200;2181
Café Bastiyá x 50;40;900;892
Miel x 500;3;4000;3965
Soda ;21;500;496
Maní ;36;2500;2478
Coco;25;3000;2974
Ajonjolí;1;3000;2974
Ciruelas ;3;5500;5452
Pasas ;12;1000;991
Graola Ligth Trigal x 400;18;7300;7236
Graola Ligth Trigal x 200;36;3900;3866
Anillos Frutales x 200;12;2800;2775
Hojuleas x 200;12;2800;2775
Zucaritas x 250 ;24;3200;3172
Granola x 1000;4;11700;11597
Compota Heinz x 113 ;40;1200;1189
Mermelada la constancia x 200;5;3000;2974
Esencia Levapan x 60;8;2400;2379
Esencia El Fortín x 60;40;2300;2280
Dulce quemado x 280;5;5200;5154
Escencia el Fortín x 165;10;2000;1982
Leche de Almendras x 945;5;8000;7930
