Producto;cantidad ;Precio de venta;Costo
Champú Equino;4;9600;9516
Cremade peinar Sedal ;15;10500;10408
Champú Konzil x 375;10;11000;10903
Crema de peinar Konzil ;8;8200;8128
Champú Savital x 350;12;9000;8921
Champú Savital x 530;23;11500;11399
Crema de Peinar Nutribela x 300;4;12700;12588
Champú Savital x 100;24;2800;2775
Crema de Peinar Savital x 100;12;2800;2775
Acondicionador Savital x 100;10;2800;2775
Champú Savital x 25 ;8;10000;9912
Champú Johnson x 400;10;16000;15859
Champú Johnson x 750;7;17000;16850
Champú Johnson x 200;7;14000;13877
Colgate x 60;54;2000;1982
Colgate x 22;85;1000;991
Colgate x 150;12;8200;8128
Colgate x 70;20;10000;9912
Colgate + cepillo ;10;2300;2280
Fluo Cardent niños ;4;5000;4956
Fluo Cardent + cepillo ;10;1900;1883
Fluo Cardent  Blanqueadora ;6;6500;6443
Fortident x 60;60;2000;1982
Oferta Listerine ;16;22000;21806
Listerine x 360;7;17000;16850
Listerine x 180;5;9000;8921
Alcohol x 700;13;3200;3172
Alcohol x 350;30;1900;1883
Menticol x 75 ;5;7500;7434
Betún liquido Bowy x 60 ;12;4000;3965
Betún liquido Cherry x 60 ;14;7000;6938
Betún Cherry x 15;24;1000;991
Betún Cherry x 37;28;4300;4262
Betún Cherry x 81;8;7500;7434
Betún Bowy x 15;22;950;942
Betún Bowy x 32;29;2100;2082
Betún Bowy x 230 Profesional ;41;5200;5154
Aceite J&J x 100;5;3200;3172
Aceite J&J x 50;5;7500;7434
Talco Mexana Spray ;15;13000;12886
Talco J&J x 200;3;16000;15859
Oferta Mexana x 300 ;6;23000;22798
Talco Mexana x 85 Hombre ;9;6000;5947
Talco Mexana x 85 Mujer ;8;8000;7930
Talco Seco oferta x 90 ;6;11500;11399
Talco Seco oferta x 300;4;14800;14670
Talco Seco x 90 ;7;5300;5253
Talco Efficient x 60;10;4300;4262
Talco Efficient x 100;6;7000;6938
Talco Efficient ofertax 200;6;14000;13877
Alucema ;5;2500;2478
Rexona Clinical x 48 ;20;18000;17842
Rexona Rollon x 48 ;14;11000;10903
Rexona x 30 ;30;2500;2478
Dove Rollon x 50 ;6;12000;11894
Dove Barra ;8;15000;14868
Dove Aerosol ;9;16500;16355
Rexona barra x 50 ;10;14000;13877
Axe barra x 50;5;13500;13381
Axe Aerosol ;6;13000;12886
Jabón Protex ;100;1900;1883
Jabón J&J adulto ;50;2300;2280
Jabón J&J Bebé;50;2600;2577
Jabón Dove ;50;2800;2775
Jabón Dorado;30;1850;1834
Jabón Lux ;60;1700;1685
Jabón Asepxia ;12;7000;6938
Jabón Rexona ;55;1800;1784
Jabón Palmolive ;30;1700;1685
Jabón Heno de Pravia ;20;2000;1982
Jabón Savital ;20;1800;1784
Jabón Lemon ;20;1400;1388
Jabón Deseo x3;18;3500;3469
Jabón Lemon x3;8;4500;4460
Jabón Piropo;25;1500;1487
Jabón liquido ;12;6000;5947
Algodón x 25;24;1000;991
Algodón x 75;15;1700;1685
Algodón x 125;10;3800;3767
Tampones OB;10;8000;7930
Tampones Kotex ;12;6500;6443
Tampones Nosotras ;10;7500;7434
Soflan x 5 L;3;22000;21806
Soflan x 3 L;6;12000;11894
Soflan x 1 L;8;4600;4560
Soflan x 210 ml;30;900;892
Soflan x 40 ml;24;250;248
Aromatel x 50 ml ;8;300;297
Aromatel x 115 ml ;40;500;496
Aromatel x 150 ml ;20;800;793
Aromatel x 205 ml ;30;1000;991
Aromatel x 425 ml ;28;2300;2280
Aromatel x 900 ml ;14;4600;4560
Aromatel x 2500 ml ;10;10900;10804
Suavizante la Joya x 3000;2;15600;15463
Suavizante la Joya x 1000;2;4900;4857
Suavizante la Joya x 500;3;2600;2577
Limpiador la Joya x 1000;6;3700;3667
Vel Rosita Liquido x 1000;3;13000;12886
Vel Rosita Liquido x 200;2;22000;21806
Sapolio x 360;2;9000;8921
Rayol grande ;9;12000;11894
Rayol pequeño ;6;11000;10903
Matón ;15;8000;7930
Cresopinol x 860;1;5500;5452
Cresopinol x 3L;1;16500;16355
Furor x 150;18;900;892
Maxo x 1000;9;4000;3965
Maxo x 500;2;2600;2577
Fabuloso x 200 ml;36;1100;1090
Fabuloso x 500 ml;24;2900;2874
Fabuloso x 1L;12;6000;5947
Fabuloso x 2L;6;8000;7930
Blancox x 180ml;24;6000;5947
Vanisk x 30 ml;16;1100;1090
Vanisk x 3785 ml;2;24000;23789
Vanisk x 450 ml;17;3300;3271
Pinolina x 2L;4;7400;7335
Pinolina x 1L;12;4500;4460
Sampic x 2L;6;8600;8524
Sampic x 1L;12;4500;4460
Ambientador Familia x 300ml;2;11200;11101
Ambientador Familia x 386ml;4;9200;9119
Papel Aluminio 8mtrs;38;2950;2924
Papel Cristaflex 20mtrs;18;1800;1784
Papel Cristaflex Negro 50mtrs;10;3500;3469
Papel Cristaflex Oferta ;6;5600;5551
Moldes Aluminio ;60;300;297
Esponjas relicuente x 3 ;10;3000;2974
Esponja arco iris ;11;2800;2775
Esponja rulo ;3;2400;2379
Esponja relucinte ;3;2200;2181
Esponja Dorada/Plateada ;12;3000;2974
Esponja Malla mil usos x 2;12;2000;1982
Esponja Colores ;100;300;297
Pitillos x 200;33;1200;1189
Mescladores ;5;1300;1289
Copas ;15;1300;1289
vasos 3,5;38;1700;1685
Cucharas ;10;2300;2280
Tenedores ;15;2600;2577
Cuchillos ;20;1200;1189
Bolsa extragrande basura ;24;3600;3568
Bolsa grande ;18;2800;2775
Bolsa mediana ;19;2500;2478
Bolsa pequeña ;13;1500;1487
Esponjilla Furor ;18;2300;2280
Esponjilla Bombril x 12;8;2300;2280
Esponjilla Bombril x 6;15;1300;1289
Esponja de Alambre ;124;200;198
Jabón Dersa x 250;60;1600;1586
Jabón Dersa x 500;72;2800;2775
Jabón Dersa x 1000;95;5700;5650
Jabón Dersa x 3000;25;16500;16355
Jabón Dersa x 5000;10;26500;26267
Jabón Rindex x 1.5;12;8000;7930
Jabón Rindex x 400;15;4800;4758
Jabón Rindex x 800;6;5000;4956
Jabón Top x 500;25;3500;3469
Jabón Top x 1000;26;7000;6938
Jabón Top basico x 1000;27;3000;2974
Jabón puro x 850;36;4500;4460
Jabón Top terra x 2000;4;15000;14868
Jabón Top terra x 1000;2;10400;10308
Jabón Lavo Matic x 850;18;7900;7830
Jabón Lavo Matic x 450;30;4000;3965
Jabón Lavo Matic x 2000;4;18000;17842
Jabón Fab x 2000;4;13000;12886
Jabón Fab x 850;27;6500;6443
Jabón Fab x 450;40;3500;3469
Jabón Fab x 225;40;2000;1982
Jabón Fab x 115;80;1100;1090
Jabón Ariel x 1.5;16;11000;10903
Jabón Ariel x 800;21;7400;7335
Jabón Ariel x 450;42;3800;3767
Jabón Ariel x 200;46;2300;2280
Cera escarlata x 530;8;11600;11498
Cera escarlata x 280;9;5900;5848
Cera roja x 530;13;10500;10408
Cera roja x 280;20;5300;5253
Velon # 22;8;18000;17842
Velon # 21;7;13200;13084
Velon # 18;25;11600;11498
Velon # 16;15;8500;8425
Velon # 12;4;6400;6344
Velon # 10;18;4500;4460
Velon # 7;7;9700;9615
Velon # 6;14;5800;5749
Velon # 4;10;5200;5154
Velon potencias ;6;6800;6740
Velon # 3;15;3500;3469
Velon # 2;21;2500;2478
Velon # 1;10;1600;1586
Velon # 0;77;900;892
Velon San Jorge #  0;41;700;694
Velon San Jorge #  2;40;1300;1289
Velon San Jorge #  4;22;2200;2181
Velon San Jorge #  7;8;2600;2577
Velon San Jorge #  6;5;2000;1982
Velon San Jorge #  8;13;3300;3271
Velon copa x 6;34;2600;2577
Velon San Jorge x 2 #  00;5;5000;4956
Velas x 10;12;3700;3667
Velas x 30;12;4600;4560
Velas x 20;34;2600;2577
Velas x 4;12;2950;2924
Velas x 10;20;5200;5154
Velas x 6;40;1100;1090
Velas x 10 Blancas;20;4000;3965
Velas x 20 Blancas;20;2200;2181
Velas x 10 grandes;30;2400;2379
Velas x 10 medianas ;30;1500;1487
Jabón barrigón x 400;24;2000;1982
Jabón barrigón x 220;20;1300;1289
Jabón Top Terra x 220 ;24;1700;1685
Jabón tigre x 450 ;25;2200;2181
Jabón tigre x 300;15;1250;1239
Jabón supremo x 3;8;4000;3965
Jabón supremo x 300;80;1700;1685
Jabón Vel rosita ;18;2200;2181
Jabón coco;38;2700;2676
Jabón Fab x 300;60;1700;1685
Jabón Axión Disco ;48;900;892
Jabón Axión Disco x 300;24;1700;1685
Jabón tras x 400;12;2400;2379
Jabón Lava x300;20;2000;1982
Jabón Dersa x 250;3;1600;1586
Jabón súper riel ;12;2200;2181
Jabón brilla ollas x400;10;4800;4758
Jabón brilla ollas x120;5;1800;1784
Limpia Hornos x 275;4;5500;5452
Lavaplatos furor x 450;8;5500;5452
Lavaplatos Fassi x 3 ;10;4500;4460
Lavaplatos Fassi x 2;9;5800;5749
Lavaplatos Maxo duo x 450;3;7000;6938
Lavaplatos Maxo x 900;2;6800;6740
Lavaplatos Axión x 900;12;7200;7137
Lavaplatos Axión x 450;12;3800;3767
Lavaplatos Axión x 235;17;1800;1784
Lavaplatos Lava x 250 ;15;2300;2280
Lavaplatos Lava x 500;11;4000;3965
Lavaplatos trio x 450;9;8000;7930
Lavaplatos trio x 400;9;7500;7434
Lavaplatos estelar x 1400;15;3200;3172
Lavaplatos estelar x 700;15;1800;1784
Lavaplatos estelar x 350;52;1000;991
Lavaplatos liquido Loza Cream x 850;9;10600;10507
Lavaplatos liquido Loza Cream x 400;15;5500;5452
Lavaplatos liquido Loza Cream Blancox x 830;8;3300;3271
Lavaplatos liquido Loza Cream Blancox x 680;6;2900;2874
Lavaplatos liquido Loza Cream x 800;18;6300;6245
Lavaplatos liquido Loza Cream x 450;8;3300;3271
Lavaplatos liquido Loza Cream x 250;12;1900;1883
Limpia vidrios Furor x 500;6;5000;4956
Limpia vidrios Maxo  x 800;10;5500;5452
Shampoo alfombras ;4;4200;4163
Varsol x 500;4;3700;3667
Varsol x 200;10;1600;1586
Varsol x 375;6;2400;2379
Varsol x 750;6;4200;4163
Varsol con Aroma x 400;10;2600;2577
Varsol ecologico ;4;1800;1784
Acido Muriatico ;13;4200;4163
Cerr Furor liquida x 400;10;2600;2577
Cera Mansion x 500;6;7500;7434
Removedor de ceras ;1;10000;9912
Sellador para pisos x810;38;12000;11894
Sellador para pisos x500;65;8000;7930
Frotex x 550;2;12500;12390
Frotex x 30;24;1000;991
Frotex x 280;7;2000;1982
Frotex oferta x 170 ;5;4700;4659
Cubrerasguños x 200;6;6800;6740
Mister musculo cocina x 250;2;5200;5154
Salvo Limon x 500;3;6200;6145
Salvo Antibacterial ;4;7900;7830
Desmanchadro de pisos ;2;7000;6938
Jabón Axion x 180 ;18;1900;1883
Jabón Axion x 750;10;10000;9912
Jabón Ajax x 1000;4;6800;6740
Jabón Ajax x 2000;4;12000;11894
Jabón Ajax Limon x 2000;6;9000;8921
Quitagrasa Maxo x800 ;7;5500;5452
Quitagrasa Gasyoff x 500;6;5000;4956
Jabón liquido Woolite x 500;3;8200;8128
Jabón liquido Woolite ropa negra x 1000;3;14200;14075
Jabón liquido Woolite ropa bebe x 2000;2;17000;16850
Jabón liquido Woolite ropa color  x 1000;3;14700;14571
Jabón liquido Woolite todos los dias   x 1000;3;13000;12886
Jabón liquido Woolite todos los dias   x 2000;6;22500;22302
Jabón liquido de coco x 900;3;12000;11894
Jabón  liquido Fab x 1000;6;11000;10903
Jabón  liquido Lavomatic x 1900;2;19500;19328
Jabón  liquido Maxo x 1000;4;9500;9416
Jabón  liquido Ariel x 2000;4;17500;17346
Jabón liquido Ariel x 4000;2;31000;30727
Jabón  liquido Ariel x 400;3;8200;8128
Jabón liquido Woolite x 300;6;2500;2478
Jabón liquido Puro x 300;13;2800;2775
Jabón liquido de coco x 300;6;3700;3667
Jabón liquido Fab x 300;4;2900;2874
Jabón liquido Velrosita x 300;6;3400;3370
Cloroz x 3800;6;12700;12588
Cloroz x 2000;12;6800;6740
Cloroz x 1000;20;3400;3370
Cloroz x 500;26;1100;1090
Patojito Color  x 1800;8;6300;6245
Patojito Color  x 1000;5;3600;3568
Limpido x 3800;3;10700;10606
Limpido x 1800;6;5700;5650
Limpido x 1000;24;3200;3172
Limpido x 500;40;1000;991
Patojito color x 450;8;1600;1586
Patojito x 3700;4;6800;6740
Patojito x 1800;4;3600;3568
Blancox ropa color x 500;11;2300;2280
Blancox ropa color x 3800;4;17500;17346
Blancox ropa color x 2000;3;9000;8921
Blancox natural x 1000;9;2800;2775
Blancox ropa color x 1000;9;3200;3172
Blancox ropa color x 400;9;2200;2181
Blancox ropa blanca x 150;6;1000;991
Limpiador 1A x 500;7;2500;2478
Limpiador Patojito x 1000;43;2000;1982
Blanqueadror Indú x 1800;4;2000;1982
Blanqueadror Indú x 750;22;900;892
Patojito x 450;30;1000;991
Papel Familia Megarollo x 12 ;6;17500;17346
Papel Familia Megarollo x 12 individual;5;19500;19328
Papel Familia Megarollo x 1;292;1700;1685
Papel Familia Extragrande x24;2;16000;15859
Papel Familia Extragrande x1;28;1500;1487
Papel Familia Acolchamas grande x1;29;1100;1090
Papel Familia Acolchamas grande x12;2;14600;14472
Papel Familia Megarollo x 4;36;6900;6839
Papel Scoot x 12;2;15500;15364
Papel Scoot x 4;9;5800;5749
Papel Scoot x 1;46;1600;1586
Papel Scoot Jumbo x 1;43;1100;1090
Papel Scoot x 2;25;3200;3172
Papel blanco x 12 ;18;12000;11894
Papel blanco x 4;12;4000;3965
Papel blanco x 2;32;2000;1982
Papel blanco x 1;80;1000;991
Papel Rosal x 1 ;32;1400;1388
Papel Elite x 1 ;12;1000;991
Papel Noble x 1 ;80;500;496
Papel Noble x 4;20;1900;1883
Servilletas de cocina x 120;8;9000;8921
Servilletas de cocina x 80;7;5900;5848
Servilletas de cocina x 40;8;3000;2974
Servilletas de cocina recorte ;12;1600;1586
Servilletas Familia x 450;6;3300;3271
Servilletas  Familia x 100;5;4300;4262
Servilletas de Cafeteria ;19;1900;1883
Sservilletas Acolchamas decoradas ;3;3400;3370
Sservilletas Acolchamas decoradas medianas ;8;1800;1784
Servilletas Practidiarias x 150;12;1400;1388
Servilletas Rosal x 200;4;4300;4262
Servilletas Blanco x 200;24;2500;2478
Servilletas Popular x200;61;2450;2428
Servilletas Popular x 600;6;3600;3568
Servilletas Popular x 360;6;2000;1982
Papel Suave x 12 ;8;21500;21311
Toallas Scoott Duramax ;12;7500;7434
Bombillos Led x 7w;12;7500;7434
Bombillos Led x 10w;14;8000;7930
Palitos de helado ;12;1300;1289
Palitos de Chuzo ;5;2000;1982
Bombillos x1;20;2500;2478
Pañuelos de bolsillo ;19;800;793
Pañuelos de bolsillo Antigripal ;17;1200;1189
Pañuelos Auto ;7;2600;2577
Pañuelos Cubo ;6;4000;3965
Frijol Cargamanto x 1000;35;8000;7930
Frijol Uribe x 1000;21;6000;5947
Frijol Balin x 1000;30;8000;7930
Frijol Iguerillo x 1000;58;5600;5551
Cuchupollo ;60;1300;1289
Salvao ;50;1000;991
Nutrecan Croquetas x 500;40;2900;2874
Nutrecan Granulado x 500;88;2400;2379
Mirringo x 1000;31;5500;5452
Mirringo x 500;38;2700;2676
Gatsy x 1000;14;4100;4064
Gatsy x 500;24;2500;2478
Catchow x 500;16;8500;8425
Cachorros Super Dog x 500;48;2000;1982
Cachorros Super Dog x 800;50;2300;2280
Dogourmet x 500;24;2500;2478
Dogourmet x 1000;13;7600;7533
Dowchow x 475;6;3800;3767
Dowchow x 400;18;2700;2676
Dowchow razas pequeñas x 400;12;3900;3866
Dowchow cachorros x 1000;18;9700;9615
Dowchow cachorros x 4000;6;18600;18436
Ringo cachorros x 1000;21;3400;3370
Ringo croquetas x 1000;42;2700;2676
Cipa can adultos x 800;16;2500;2478
Cipa can adultos RP x 800;40;3000;2974
Cipa can cachorros X 800;15;3400;3370
Purina Pollo engorde x 1000;80;1800;1784
Purina gallinas x 1000;78;1700;1685
Alpiste x 500;50;1900;1883
Semillas de girasol x 200;24;1200;1189
Ajonjolí ;15;6000;5947
Maní crudo ;14;4500;4460
Sorgo ;36;2500;2478
Cebada ;74;2200;2181
Arveja Aburrá x 460;115;1400;1388
Lenteja Aburrá x 460;129;2300;2280
Garbanzo Aburrá  x 460;55;3300;3271
Soya Aburrá  x 460;48;1800;1784
Maiz Pira Aburrá  x 460;25;1600;1586
Mazamorra comarca x 500;50;1400;1388
Arroz Roa x 5L;45;6500;6443
Sal alta pureza x 500;4;1900;1883
Sal alta pureza x 1000;8;2300;2280
Sal Vital x 500;7;5800;5749
Sal Vital x 120;12;2800;2775
Sal Vital x 130;28;650;644
Sal Marina x 500;12;1200;1189
Sal Marina x 1000;14;2200;2181
Sal Refisal x 500;250;600;595
Sal Refisal x 1000;300;1100;1090
Sal marina cristal x 800;8;8200;8128
Sal Doña Blanca x 500;40;450;446
Sal Doña Blanca x 1000;60;900;892
Recogedores ;12;2500;2478
Cepillos de mano ;24;2300;2280
Cepillos de Piso ;15;4000;3965
Arroz Roa x Arroba;85;32000;31718
Arroz Roa x 1 ;20;1400;1388
Arroz Diana Premium ;37;1700;1685
Arroz Castellano ;13;2900;2874
Arroz Castellano Integral ;6;5700;5650
Guantes Furor ;41;2500;2478
Guantes Eterna cocina ;26;4500;4460
Guantes Eterna Baño ;56;3700;3667
Glade Aerosol x 400;12;9500;9416
Bonaire x 400;18;8000;7930
Bonaire toque ;8;14000;13877
Bonaire Varitas pequeñas ;4;6000;5947
Bonaire Varitas grandes ;8;13000;12886
Bonaire gel ;3;3000;2974
Bonaire electrico ;2;11000;10903
Bonaire electrico repuesto;2;17000;16850
Bonaire cristal ;8;7000;6938
Escobas ;22;4800;4758
Enceradores ;4;3500;3469
Bombas de baño ;6;2800;2775
Escobillones ;6;4000;3965
Maiz común x 1000;230;1100;1090
Maiz trillado amarillo x 1000;182;1300;1289
Maiz trillado blanco x 1000;48;1500;1487
Panela paca;30;58000;57490
Hilos de Polimero ;38;2000;1982
Bolsas de papel pequeña ;8;1000;991
Bolsas de papel mediana ;5;1800;1784
Bolsas de papel grande ;5;2500;2478
ubetas de Huevo x30;40;9000;8921
Papa bulto x 50;6;60000;59472
Avena natural x 250;8;2200;2181
Avena Fitness x 250;8;2500;2478
Yogo Yogo x 150;30;1000;991
Regeneris ;15;1500;1487
Kumis Alpina ;15;1200;1189
Yogurth vaso ;50;1300;1289
Bon yurt ;30;2000;1982
Gelatina vaso ;30;1200;1189
Yogurth x 1000;45;4000;3965
Queso en lonchitas ;50;5000;4956
Leche saborizada ;30;1000;991
Salchichones ;30;5000;4956
Salchichas ;10;7000;6938
Jamones ;15;8500;8425
Mortadelas ;30;4000;3965
Chorizo de ternera ;10;8000;7930
Pechugas ;20;8500;8425
Muslos Bandeja ;15;6500;6443
Menudencia fina ;20;2000;1982
Recortes Bandejas ;15;4500;4460
Lomito de pescado ;6;5000;4956
Contramuslos bamdeja ;10;5000;4956
Bagre bandeja ;15;6500;6443
Gaseosa x 3l;60;5500;5452
Gaseosa x 1,5;100;3000;2974
Agua x 600;150;1200;1189
Agua x 20L;6;11000;10903
Agual x 5L ;10;4000;3965
Agua Saborizada ;24;2500;2478
Tampico x 1L;10;2500;2478
Tampico x garrafa ;6;5000;4956
papa x 50Kg;8;65000;64428
Pilas AA;60;1500;1487
